n_words,n_sents,flesch_re,sentiment,gase,pti,teg,rci,pai,nava,nava_arc,lewi_idx,lewi_drop,cd_index,vads,ties,attachment,horsemen_total,criticism,contempt,defensiveness,stonewalling,vader_score,nrc_score,liwc_score,emo_anger,emo_sadness,emo_fear,emo_joy,emo_trust,emo_disgust,emo_surprise,emo_anticipation,id,gold_sentiment,gold_emotion
7,1,91.0,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0010,neu,11008|1|1|8|2|34|1|2|7|7|2|2|4|1|4|3|0|0|1|0|0|0|0|0|1|1|3|3|1|0|1|2|2|2|2|0|fear|1|4|0110082|it was winter/spring and the ice was melting.  i was far out on a á jetty and i poked the ice with a long branch to try and break it. á  the branch went through the ice and i fell in
5,1,100,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0011,neu,11008|1|1|8|2|34|1|2|7|7|2|3|2|3|2|3|0|2|2|0|0|0|1|1|1|1|2|2|2|2|2|2|1|1|3|0|anger|3|2|0110083|unjust accusations directed at me and my way of acting
11,2,55.1,-0.3695,0.3391,0.0,0.7391,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,-0.5423,-0.1818,0.0,1,1,0,0,0,1,0,0,is_0012,neu,11008|1|1|8|2|34|1|2|7|7|2|5|3|1|2|2|1|2|0|1|0|0|0|0|3|1|3|3|0|0|3|3|1|0|0|1|disgust|1|2|0110085|a drunkard fell
11,1,88.0,-0.4588,0.5624,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,is_0013,neu,11008|1|1|8|2|34|1|2|7|7|2|6|3|3|2|2|0|1|2|0|0|0|0|1|2|2|3|3|2|1|5|2|1|1|3|0|shame|3|2|0110086|when
6,1,73.8,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0014,neu,11008|1|1|8|2|34|1|2|7|7|2|7|4|3|2|0|0|2|1|0|0|0|0|0|2|2|3|2|0|0|0|0|1|3|0|0|guilt|3|2|0110087|when i am in an environment or with a person much worse off than á me
18,2,84.9,0.0,0.7,0.5,0.0,0.1429,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,-0.0191,0.0,0.0,0,0,0,0,0,0,0,0,is_0015,neu,11009|1|1|9|2|24|1|1|7|7|2|3|3|3|4|0|1|0|0|0|0|0|0|0|1|2|3|2|1|3|1|3|2|0|3|1|anger|3|4|0110093|when i heard on the radio that the football match in belgium had á ended in a catastrophe
28,2,74.8,0.0,0.7,0.75,0.0,0.0,0.3333,,NA,,,0.1667,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0016,neu,11009|1|1|9|2|24|1|1|7|7|2|4|2|3|3|0|0|0|1|0|0|1|0|0|1|2|3|2|1|1|1|1|1|0|0|1|sadness|3|3|0110094|when i feel lonely
11,1,88.0,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.4404,0.0909,0.9999,0,0,0,0,0,0,0,0,is_0017,neu,11009|1|1|9|2|24|1|1|7|7|2|6|4|4|4|0|0|2|0|0|0|0|0|0|3|2|3|3|3|2|2|3|1|1|1|0|shame|4|4|0110096|i lied
15,1,78.8,0.0,0.7,0.75,0.0,0.0,0.4667,,NA,,,0.0833,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0018,neu,11010|1|1|10|1|24|0|2|6|6|2|3|3|4|3|2|0|0|1|1|0|0|0|0|2|2|3|3|1|3|5|1|1|1|1|0|anger|4|3|0110103|at my summer job
9,1,100,-0.3612,0.5916,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,is_0019,neu,11011|1|1|11|1|25|1|2|7|6|2|2|4|1|2|3|1|0|0|0|0|0|0|0|3|2|2|0|3|4|3|1|2|2|0|1|fear|1|2|0110112|in a cottage in a large forest
22,1,84.5,-0.5859,0.5242,0.75,0.0,0.0,0.3333,,NA,,,0.0,0.2727,0.0,anxious,0,0,0,0,0,-0.5267,-0.0455,0.0,0,0,1,0,0,0,0,0,is_0020,neu,11012|1|1|12|1|23|1|2|7|6|2|2|3|2|4|1|0|1|1|0|0|0|0|0|1|2|3|0|1|4|5|1|3|3|1|0|fear|2|4|0110122|on the way back from denmark with a friend on a small yatch
6,1,73.8,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0021,neu,11012|1|1|12|1|23|1|2|7|6|2|6|4|4|3|0|0|0|0|1|0|0|0|0|3|1|3|0|1|2|3|3|2|2|0|0|shame|4|3|0110126|my friend was so intoxicated that the police came and took him á away
11,1,57.2,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0022,neu,11013|1|1|13|2|22|1|2|7|4|2|3|1|1|3|1|0|0|3|0|0|0|0|0|1|1|3|0|3|3|4|3|2|1|1|0|anger|1|3|0110133|at work
10,1,95.2,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0023,neu,11015|1|1|15|1|26|0|2|7|6|2|4|1|1|0|1|0|0|1|0|0|1|0|0|1|1|2|2|0|0|4|2|2|0|0|1|sadness|1|0|0110154|when i saw the list of books to read for an acccouting course
14,1,95.9,0.0,0.7,0.6667,0.0,0.2,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0024,neu,11015|1|1|15|1|26|0|2|7|6|2|7|2|2|3|1|0|2|0|0|0|0|0|1|3|1|3|3|2|1|3|1|2|1|0|0|guilt|2|3|0110157|when i was young - 14
7,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0025,neu,11016|1|1|16|2|33|1|2|4|4|2|2|4|2|4|4|1|1|1|1|0|0|0|0|1|1|3|3|3|1|1|1|1|3|1|1|fear|2|4|0110162|when i could not find my 2 year old daughter.  i ran and looked á for her everywhere and could not find her.  (i finally found her
25,2,92.6,-0.2294,0.6312,0.75,0.4588,0.1111,0.3333,,NA,,,0.0,0.24,0.0,anxious,0,0,0,0,0,-0.5267,-0.04,0.0,0,0,1,0,0,0,0,0,is_0026,neu,11019|1|1|19|1|30|1|2|5|1|2|2|1|1|3|3|0|0|0|0|0|0|0|1|2|1|3|0|3|0|5|3|0|1|2|0|fear|1|3|0110192|while taking a short cut through the vasa park
16,1,90.1,-0.4588,0.5624,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.375,0.0,anxious,0,0,0,0,0,-0.5859,-0.0625,0.0,1,0,0,0,0,0,0,0,is_0027,neu,11019|1|1|19|1|30|1|2|5|1|2|3|2|2|4|2|0|0|0|0|0|0|0|1|2|1|3|0|1|3|5|3|0|1|0|0|anger|2|4|0110193|at a restaurant i observed how the gypsies tried to get money by á cheating the foreigners i.e non swedish speaking.  my anger had á nothing to do with hatred against foreigners
10,1,86.7,-0.4939,0.3018,0.6667,0.0,0.0,0.3333,,NA,,,0.0,1.0,0.0,anxious,0,0,0,0,0,-0.5423,0.0,0.0,0,1,1,0,0,0,0,0,is_0028,neu,11019|1|1|19|1|30|1|2|5|1|2|6|2|2|3|2|0|0|1|0|0|0|0|0|1|2|3|1|1|1|2|3|3|3|1|0|shame|2|3|0110196|when my boyfriend revealed that he knew that i had discovered á things of an important nature about him
11,1,100,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0029,neu,11019|1|1|19|1|30|1|2|5|1|2|7|1|2|4|1|1|0|2|0|0|0|0|0|3|3|1|2|0|2|4|3|3|3|0|1|guilt|2|4|0110197|when i am dishonest to a friend to whom i am very close.  i á feel guilty because i know that he gives a different version of á the truth and i have not corrected these mistakes
11,1,80.3,-0.0772,0.6768,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0030,neu,11020|1|1|20|1|24|8|2|4|4|2|5|3|1|1|0|0|0|1|0|1|0|0|0|1|1|3|2|2|3|4|3|2|1|3|0|disgust|1|1|0110205|at a sm÷rgasbord table
9,1,75.5,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0031,neu,11020|1|1|20|1|24|8|2|4|4|2|6|3|2|2|1|0|0|1|0|0|0|0|0|2|2|3|2|1|1|3|3|2|2|2|0|shame|2|2|0110206|when i had not prepared my contribution to the group as á thoroughly as the other members
18,2,100,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0032,neu,11020|1|1|20|1|24|8|2|4|4|2|7|2|4|3|0|0|2|0|0|0|0|0|0|0|2|2|3|3|2|4|2|2|1|3|0|guilt|4|3|0110207|when my father and i worked on the house just after he had á recovered from illness
14,1,100,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0833,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0033,neu,11021|1|1|21|2|30|1|2|4|1|2|3|3|3|3|0|0|0|0|0|0|0|0|0|3|2|2|2|0|2|4|2|2|1|1|0|anger|3|3|0110213|when a colleague asked me for help at work
12,1,100,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.1667,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0034,neu,11021|1|1|21|2|30|1|2|4|1|2|6|3|4|2|0|0|0|1|0|0|0|0|0|1|2|3|0|2|1|2|2|0|3|3|0|shame|4|2|0110216|when i met a friend whom i had not seen for a long time and á heard all about her troubles
21,2,99.5,0.0,0.7,0.6,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0035,neu,11022|1|1|22|1|24|1|2|8|4|2|1|4|4|4|1|0|1|1|1|1|0|0|0|1|1|1|1|0|4|5|0|3|3|3|0|joy|4|4|0110221|new year's eve 1983/1984
8,1,100,-0.4588,0.5624,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.75,0.0,anxious,0,0,0,0,0,-0.5423,-0.125,0.0,0,0,1,0,0,0,0,0,is_0036,neu,11022|1|1|22|1|24|1|2|8|4|2|2|3|3|4|4|1|2|2|0|0|0|0|2|3|1|3|0|1|1|2|2|1|0|0|1|fear|3|4|0110222|when i was stopped by plain clothes policemen because the car i á was driving had overturned on the avenue.  i had been driving too á fast
11,2,62.8,-0.1806,0.6458,0.6667,0.3612,0.0,0.3333,,NA,,,0.0833,0.0,-0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,is_0037,neu,11022|1|1|22|1|24|1|2|8|4|2|7|3|4|2|0|2|0|0|1|0|0|0|0|3|3|3|3|1|0|3|3|1|1|0|2|guilt|4|2|0110227|due to laziness
4,1,33.6,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,-0.4404,-0.25,0.0,0,0,0,0,0,0,0,0,is_0038,neu,21009|1|2|9|2|21|1|2|8|1|9|5|3|1|3|0|0|0|1|0|0|0|0|0|1|1|3|0|0|0|3|3|3|0|0|0|disgust|1|3|0210095|observing someone in the cafeteria noisily gulping in his food
6,1,73.8,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.5,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0039,neu,21010|1|2|10|2|19|1|2|4|1|9|2|4|4|3|0|1|0|1|0|0|1|0|0|1|1|3|3|2|4|5|0|0|3|0|2|fear|4|3|0210102|when my sister had the still born child
13,1,83.0,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,-0.0769,0.0,0,0,0,0,0,0,0,0,is_0040,neu,21010|1|2|10|2|19|1|2|4|1|9|3|1|3|2|1|0|2|2|0|0|0|0|0|1|1|3|3|2|3|5|1|2|2|2|0|anger|3|2|0210103|we were starting a student project
5,1,100,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.6,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0041,neu,21010|1|2|10|2|19|1|2|4|1|9|5|3|4|2|0|0|0|1|1|0|0|0|0|2|2|3|3|0|2|1|2|1|1|0|0|disgust|4|2|0210105|i felt some disgust for my boyfriend for a time
10,1,100,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0042,neu,21010|1|2|10|2|19|1|2|4|1|9|7|4|4|2|0|0|0|0|0|0|0|0|0|2|1|3|3|2|2|1|1|1|3|0|0|guilt|4|2|0210107|before an accident
8,1,100,0.0,0.7,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0043,neu,21011|1|2|11|1|30|8|2|8|4|9|1|2|3|3|0|0|1|1|0|1|0|0|1|1|1|1|1|1|4|0|1|3|3|3|0|joy|3|3|0210111|unexpected visit by a close friend
4,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0044,neu,21011|1|2|11|1|30|8|2|8|4|9|2|4|1|2|1|0|0|1|0|0|0|0|1|2|1|3|3|1|1|2|0|3|2|1|0|fear|1|2|0210112|i wandered by mistake into the safety zone of a shooting range
5,1,83.3,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0045,neu,21012|1|2|12|2|23|1|1|4|5|9|1|3|3|3|2|1|1|2|1|1|0|0|0|1|1|1|1|1|3|4|1|3|3|3|1|joy|3|3|0210121|when i was accepted as a student at the college
10,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0046,neu,21012|1|2|12|2|23|1|1|4|5|9|2|4|4|4|4|0|1|1|1|0|0|0|1|3|1|3|0|3|0|1|0|0|0|1|0|fear|4|4|0210122|when i was the first to arrive at the scene after an accident
7,1,100,-0.5859,0.5242,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.8571,0.0,anxious,0,0,0,0,0,-0.5859,-0.125,-0.9999,1,0,0,0,0,0,0,0,is_0047,neu,21012|1|2|12|2|23|1|1|4|5|9|3|4|3|3|3|1|2|5|1|0|1|0|1|1|1|3|2|3|2|1|2|1|1|2|2|anger|3|3|0210123|i was accused of having done something
25,3,86.7,0.1808,0.7542,0.75,0.2712,0.0,0.3333,,NA,,,0.0,0.24,0.0,anxious,0,0,0,0,0,0.5994,0.04,0.9998,0,0,0,1,0,0,0,0,is_0048,neu,41019|1|4|19|2|33|8|2|6|1|9|1|4|3|4|0|0|1|2|0|1|0|0|0|1|1|1|3|1|4|1|1|3|3|1|0|joy|3|4|0410191|a couple of years ago during the summer holiday
42,2,66.7,0.0,0.7,0.8333,0.0,0.0,0.3333,,NA,,,0.0,0.1429,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0049,neu,41019|1|4|19|2|33|8|2|6|1|9|2|4|1|4|4|0|0|0|0|0|0|0|0|1|2|3|0|0|1|4|1|2|0|0|0|fear|1|4|0410192|i was alone at home
13,2,63.6,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,-0.0769,0.0,0,0,0,0,0,0,0,0,is_0050,neu,41019|1|4|19|2|33|8|2|6|1|9|3|1|2|2|2|0|0|2|0|0|0|0|2|2|2|3|3|3|3|1|1|2|2|3|0|anger|2|2|0410193|i went to a lecture and once again it had been cancelled
33,2,74.7,-0.1806,0.6458,0.5,0.3612,0.0,0.3333,,NA,,,0.0,0.1818,0.0,anxious,0,0,0,0,0,-0.5423,-0.0303,-0.9997,0,1,0,0,0,0,0,0,is_0051,neu,41019|1|4|19|2|33|8|2|6|1|9|4|2|3|3|0|0|0|3|1|0|0|0|1|2|1|3|2|2|0|4|1|2|3|2|0|sadness|3|3|0410194|i heard that a former superior of mine had died
36,3,91.3,-0.2041,0.3088,0.75,0.6124,0.0,0.3333,,NA,,,0.0,0.25,0.0,anxious,1,0,1,0,0,-0.5719,0.0,0.0,0,0,0,0,0,1,0,0,is_0052,neu,41019|1|4|19|2|33|8|2|6|1|9|5|1|1|4|1|1|1|2|0|0|0|0|0|2|1|3|0|0|3|1|0|2|2|0|1|disgust|1|4|0410195|in the tram there was a fat
14,1,83.9,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0053,neu,41019|1|4|19|2|33|8|2|6|1|9|7|1|4|2|1|0|0|1|1|0|0|0|1|2|1|3|2|0|1|5|2|1|1|0|0|guilt|4|2|0410197|i made a remark to my sister concerning her attitude to men
10,1,95.2,0.0,0.7,0.75,0.0,0.0,0.3333,,NA,,,0.0,0.3,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0054,neu,41020|1|4|20|2|26|1|2|7|6|2|1|3|4|3|2|0|1|1|0|1|0|0|0|2|2|1|0|1|0|4|1|3|3|3|0|joy|4|3|0410201|i had a summer job in sweden
10,1,100,-0.4588,0.5624,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.6,0.0,anxious,0,0,0,0,0,-0.5423,-0.1,0.0,0,0,1,0,0,0,0,0,is_0055,neu,41020|1|4|20|2|26|1|2|7|6|2|2|3|4|4|2|1|0|1|1|0|0|0|0|3|2|3|0|0|1|5|0|1|0|0|1|fear|4|4|0410202|i went to practice in sweden during summer
32,1,66.0,0.0,0.7,0.75,0.0,0.0,0.3333,,NA,,,0.0,0.0938,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0056,neu,41020|1|4|20|2|26|1|2|7|6|2|3|3|3|3|2|0|2|1|1|0|0|0|2|0|1|3|3|3|2|1|3|2|1|0|0|anger|3|3|0410203|in the holiday cottage of our association
16,1,74.3,0.0,0.7,0.6667,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0057,neu,41020|1|4|20|2|26|1|2|7|6|2|5|3|4|4|2|1|0|1|1|0|0|0|0|1|1|3|0|3|3|1|3|0|1|0|1|disgust|4|4|0410205|my superior at the summer job swindled customers as much as he á could
10,1,95.2,-0.3612,0.5916,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,is_0058,neu,41021|1|4|21|2|22|1|2|8|8|9|1|1|3|3|2|0|2|1|1|1|0|0|1|2|1|1|1|1|2|1|0|3|3|3|0|joy|3|3|0410211|i was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation.  i was really á surprised and joy was the first emotion i felt
9,1,100,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0059,neu,41021|1|4|21|2|22|1|2|8|8|9|2|3|2|2|2|1|2|2|0|1|0|0|1|2|3|1|1|1|1|5|1|3|2|3|1|fear|2|2|0410212|our tutorial group was soon to be divided
19,2,90.3,-0.064,0.4308,0.8571,0.128,0.0,0.3333,,NA,,,0.0,0.6316,0.0,anxious,0,0,0,0,0,-0.7717,-0.1053,-0.9998,1,0,0,0,1,0,0,0,is_0060,neu,41021|1|4|21|2|22|1|2|8|8|9|3|2|3|2|0|0|0|0|1|0|0|0|0|3|1|3|2|0|2|1|2|2|2|0|0|anger|3|2|0410213|we were in a disco and the evening was not at all pleasant.  á despite my not knowing why
19,2,85.9,0.0,0.7,0.8,0.0,0.125,0.3333,,NA,,,0.0,0.1579,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0061,neu,41021|1|4|21|2|22|1|2|8|8|9|4|4|4|4|0|1|0|1|1|0|0|0|0|2|1|3|0|1|4|3|0|0|2|3|1|sadness|4|4|0410214|my grandmother died
34,3,85.8,0.1204,0.4588,0.8333,0.3612,0.037,0.3333,,NA,,,0.0,0.1765,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,is_0062,neu,41021|1|4|21|2|22|1|2|8|8|9|5|2|1|1|2|0|0|1|0|0|0|0|0|1|1|3|2|1|4|4|1|2|2|0|0|disgust|1|1|0410215|at the underground station
5,1,83.3,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0063,neu,41021|1|4|21|2|22|1|2|8|8|9|6|1|3|2|0|0|0|1|1|0|0|0|0|0|1|3|2|0|1|1|3|1|1|0|0|shame|3|2|0410216|i was worried by a task related to my studies which had to be á done in groups of two.  i was talking about it to my friends when á i said something negative
17,1,60.2,0.0,0.7,0.0,0.0,0.0,0.0,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,is_0064,neu,41022|1|4|22|1|21|1|1|7|7|9|1|1|3|2|2|0|0|1|0|0|0|0|0|1|1|1|2|1|1|5|1|3|3|3|0|joy|3|2|0410221|last night i had a chat with a fellow student.  i had known her á for about half a year
12,1,96.0,0.3612,0.5584,0.5,0.0,0.0,0.3333,,NA,,,0.0,0.0,0.0,anxious,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,is_0065,neu,41061|1|4|61|2|20|1|2|5|5|1|3|1|2|3|3|0|0|3|0|0|0|0|2|1|1|3|3|3|2|4|2|1|2|3|0|anger|2|3|0410613|[ i sometimes quarrel with my mother because she blames me
